"","sample.no","year","date","sanctuary","status","site.new","complexity","algal.cover","size.class","count"
"63",63,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",2,2,"legal",0
"64",64,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",3,0,"legal",0
"65",65,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",2,2,"legal",0
"66",66,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",1,2,"legal",0
"67",67,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",3,2,"legal",0
"68",68,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",2,3,"legal",0
"69",69,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",2,2,"legal",0
"70",70,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",1,3,"legal",0
"71",71,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",2,1,"legal",0
"72",72,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",2,1,"legal",0
"73",73,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",2,2,"legal",0
"74",74,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",2,3,"legal",0
"75",75,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",4,3,"legal",0
"76",76,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",4,2,"legal",0
"77",77,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",2,3,"legal",0
"78",78,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",2,2,"legal",0
"79",79,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",2,3,"legal",0
"80",80,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",3,2,"legal",0
"81",81,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",3,1,"legal",0
"82",82,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",2,2,"legal",0
"83",83,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",3,2,"legal",0
"84",84,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",4,2,"legal",0
"85",85,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",3,3,"legal",0
"86",86,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",2,2,"legal",0
"87",87,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",1,2,"legal",0
"88",88,2014,2014-01-25,"Armstrong Bay","Fished","City of York.Fished",3,2,"legal",0
"89",89,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",2,2,"legal",0
"90",90,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",2,3,"legal",0
"91",91,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",2,3,"legal",0
"92",92,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",1,3,"legal",0
"93",93,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",1,3,"legal",0
"94",94,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",4,3,"legal",0
"95",95,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",3,1,"legal",0
"96",96,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",0,2,"legal",0
"97",97,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",3,1,"legal",0
"98",98,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",2,0,"legal",0
"99",99,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",2,1,"legal",0
"100",100,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",1,2,"legal",0
"101",101,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",4,2,"legal",0
"102",102,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",3,2,"legal",0
"103",103,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",3,2,"legal",0
