year,date,sanctuary,status,site,replicate,sampling.location,complexity,algal.cover,unsized,legal.unsized,sublegal.unsized,x25,x30,x35,x40,x45,x50,x55,x60,x65,x70,x75,x80,x85,x90,x95,x100,x105,x110,x115,x120,x125,x130,x135,x140,x145,x150
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,30,none,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,31,none,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,32,none,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,33,none,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,34,none,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,35,none,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,36,none,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,37,none,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,38,none,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,39,none,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,40,none,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,41,none,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,42,none,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,43,none,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,44,none,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,45,none,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,46,none,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,47,none,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,48,none,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,49,none,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,50,none,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,51,none,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,52,none,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,53,none,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,54,none,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,55,none,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,56,none,3,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,57,none,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,No-take,Little Armstrong,58,none,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,59,none,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,60,none,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,61,none,2,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,62,none,2,3,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,63,none,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,64,none,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,65,none,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,66,none,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,67,none,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,68,none,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,69,none,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,70,none,1,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,71,none,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,72,none,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,73,none,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,74,none,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,75,none,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,76,none,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,77,none,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,78,none,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,79,none,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,80,none,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,81,none,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,82,none,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,83,none,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,84,none,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,85,none,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,86,none,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,87,none,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-25T16:00:00Z,Armstrong Bay,Fished,City of York,88,none,3,2,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,89,none,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,90,none,2,3,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,91,none,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,92,none,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,93,none,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,94,none,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
