"sample.no","M","F","J","school.count","","sanctuary","status","site"
514,0,0,0,4,NA,"Green_Island","No-take","Green_Island"
515,0,0,0,2,NA,"Green_Island","No-take","Green_Island"
516,0,0,0,3,NA,"Green_Island","No-take","Green_Island"
517,0,0,0,6,NA,"Green_Island","No-take","Green_Island"
518,0,0,0,2,NA,"Green_Island","No-take","Green_Island"
519,0,0,0,3,NA,"Green_Island","No-take","Green_Island"
520,0,0,0,3,NA,"Green_Island","No-take","Green_Island"
521,0,0,0,3,NA,"Green_Island","No-take","Green_Island"
522,0,0,0,4,NA,"Green_Island","No-take","Green_Island"
523,0,0,0,0,NA,"Green_Island","No-take","Green_Island"
524,0,0,0,1,NA,"Green_Island","No-take","Green_Island"
525,0,0,0,1,NA,"Green_Island","No-take","Green_Island"
526,0,0,0,1,NA,"Green_Island","No-take","Green_Island"
527,0,0,0,1,NA,"Parker_Pt","No-take","East_Salmon"
528,0,0,0,4,NA,"Parker_Pt","No-take","East_Salmon"
529,0,0,0,4,NA,"Parker_Pt","No-take","East_Salmon"
530,0,0,0,1,NA,"Parker_Pt","No-take","East_Salmon"
531,0,0,0,1,NA,"Parker_Pt","No-take","East_Salmon"
532,0,0,0,1,NA,"Parker_Pt","No-take","East_Salmon"
533,0,0,0,4,NA,"Parker_Pt","No-take","East_Salmon"
534,0,0,0,4,NA,"Parker_Pt","No-take","East_Salmon"
535,0,0,0,9,NA,"Parker_Pt","No-take","East_Salmon"
536,0,0,0,7,NA,"Parker_Pt","No-take","East_Salmon"
537,0,0,0,5,NA,"Parker_Pt","No-take","East_Salmon"
538,0,0,0,4,NA,"Parker_Pt","No-take","East_Salmon"
539,0,0,0,6,NA,"Parker_Pt","No-take","East_Salmon"
540,0,0,0,1,NA,"Parker_Pt","No-take","East_Salmon"
541,0,0,0,7,NA,"Parker_Pt","No-take","East_Salmon"
542,0,0,0,4,NA,"Parker_Pt","No-take","Little Salmon_Bay"
543,0,0,0,2,NA,"Parker_Pt","No-take","Little Salmon_Bay"
544,0,0,0,3,NA,"Parker_Pt","No-take","Little Salmon_Bay"
545,0,0,0,4,NA,"Parker_Pt","No-take","Little Salmon_Bay"
546,0,0,0,2,NA,"Parker_Pt","No-take","Little Salmon_Bay"
547,0,0,0,1,NA,"Parker_Pt","No-take","Little Salmon_Bay"
548,0,0,0,2,NA,"Parker_Pt","No-take","Little Salmon_Bay"
549,0,0,0,2,NA,"Parker_Pt","No-take","Little Salmon_Bay"
550,0,0,0,2,NA,"Parker_Pt","No-take","Little Salmon_Bay"
551,0,0,0,2,NA,"Parker_Pt","No-take","Little Salmon_Bay"
552,0,0,0,2,NA,"Parker_Pt","No-take","Little Salmon_Bay"
553,0,0,0,2,NA,"Parker_Pt","No-take","Little Salmon_Bay"
554,0,0,0,2,NA,"Parker_Pt","No-take","Little Salmon_Bay"
555,0,0,0,1,NA,"Parker_Pt","No-take","Little Salmon_Bay"
556,0,0,0,1,NA,"Parker_Pt","No-take","Little Salmon_Bay"
