sanctuary,site,status,date,time,group.no,groupID,transect,length.mm,stage,school,comments,number,transect.id,school.id
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,160,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,100,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,200,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,130,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,140,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,100,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,90,F,2,NA,1,JAT.2,East_Salmon.2.JAT.2
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,70,F,3,NA,1,JAT.2,East_Salmon.2.JAT.3
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,80,F,4,NA,1,JAT.2,East_Salmon.2.JAT.4
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,90,F,4,NA,1,JAT.2,East_Salmon.2.JAT.4
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,100,F,4,NA,1,JAT.2,East_Salmon.2.JAT.4
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,120,F,5,NA,1,JAT.2,East_Salmon.2.JAT.5
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,200,F,5,NA,1,JAT.2,East_Salmon.2.JAT.5
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,100,F,6,NA,1,JAT.3,East_Salmon.3.JAT.6
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,40,J,7,NA,1,JAT.3,East_Salmon.3.JAT.7
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,200,F,8,NA,1,JAT.3,East_Salmon.3.JAT.8
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,50,F,9,NA,1,JAT.3,East_Salmon.3.JAT.9
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,120,F,9,NA,1,JAT.3,East_Salmon.3.JAT.9
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,130,F,10,NA,1,JAT.4,East_Salmon.4.JAT.10
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,170,F,10,NA,1,JAT.4,East_Salmon.4.JAT.10
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,110,F,10,NA,1,JAT.4,East_Salmon.4.JAT.10
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,70,F,11,NA,1,JAT.4,East_Salmon.4.JAT.11
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,80,F,11,NA,1,JAT.4,East_Salmon.4.JAT.11
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,100,F,11,NA,1,JAT.4,East_Salmon.4.JAT.11
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,130,F,11,NA,1,JAT.4,East_Salmon.4.JAT.11
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,60,F,12,NA,1,JAT.4,East_Salmon.4.JAT.12
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,80,F,12,NA,1,JAT.4,East_Salmon.4.JAT.12
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,250,M,13,NA,1,JAT.4,East_Salmon.4.JAT.13
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,200,F,13,NA,1,JAT.4,East_Salmon.4.JAT.13
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,170,F,13,NA,1,JAT.4,East_Salmon.4.JAT.13
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,80,F,14,NA,1,JAT.4,East_Salmon.4.JAT.14
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,70,F,14,NA,1,JAT.4,East_Salmon.4.JAT.14
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,160,F,15,NA,1,JAT.4,East_Salmon.4.JAT.15
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,60,F,16,NA,1,JAT.4,East_Salmon.4.JAT.16
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,80,F,17,NA,1,JAT.4,East_Salmon.4.JAT.17
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,70,F,17,NA,1,JAT.4,East_Salmon.4.JAT.17
