sanctuary,status,group.id,transect.id,metric,count,sample.no
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.HA,Fished.Armstrong.Parakeet_Bay.HA.2,F,1,51
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.HA,Fished.Armstrong.Parakeet_Bay.HA.3,F,8,52
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.HA,Fished.Armstrong.Parakeet_Bay.HA.4,F,1,53
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.HA,Fished.Armstrong.Parakeet_Bay.HA.5,F,0,54
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.JH,Fished.Armstrong.Parakeet_Bay.JH.1,F,1,55
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.JH,Fished.Armstrong.Parakeet_Bay.JH.2,F,1,56
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.JH,Fished.Armstrong.Parakeet_Bay.JH.3,F,3,57
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.JH,Fished.Armstrong.Parakeet_Bay.JH.4,F,1,58
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.JH,Fished.Armstrong.Parakeet_Bay.JH.5,F,7,59
Armstrong,Fished,Fished.Armstrong.Ricey_Beach.AT,Fished.Armstrong.Ricey_Beach.AT.1,F,5,60
Armstrong,Fished,Fished.Armstrong.Ricey_Beach.AT,Fished.Armstrong.Ricey_Beach.AT.2,F,2,61
Armstrong,Fished,Fished.Armstrong.Ricey_Beach.AT,Fished.Armstrong.Ricey_Beach.AT.3,F,8,62
Armstrong,Fished,Fished.Armstrong.Ricey_Beach.AT,Fished.Armstrong.Ricey_Beach.AT.4,F,0,63
Armstrong,Fished,Fished.Armstrong.Ricey_Beach.AT,Fished.Armstrong.Ricey_Beach.AT.5,F,5,64
Armstrong,Fished,Fished.Armstrong.Ricey_Beach.EPJ,Fished.Armstrong.Ricey_Beach.EPJ.1,F,17,65
Armstrong,Fished,Fished.Armstrong.Ricey_Beach.EPJ,Fished.Armstrong.Ricey_Beach.EPJ.2,F,18,66
Armstrong,Fished,Fished.Armstrong.Ricey_Beach.EPJ,Fished.Armstrong.Ricey_Beach.EPJ.3,F,2,67
Armstrong,Fished,Fished.Armstrong.Ricey_Beach.EPJ,Fished.Armstrong.Ricey_Beach.EPJ.4,F,32,68
Armstrong,Fished,Fished.Armstrong.Ricey_Beach.EPJ,Fished.Armstrong.Ricey_Beach.EPJ.5,F,14,69
Armstrong,Fished,Fished.Armstrong.Ricey_Beach.ST,Fished.Armstrong.Ricey_Beach.ST.1,F,5,70
Armstrong,Fished,Fished.Armstrong.Ricey_Beach.ST,Fished.Armstrong.Ricey_Beach.ST.2,F,29,71
Armstrong,Fished,Fished.Armstrong.Ricey_Beach.ST,Fished.Armstrong.Ricey_Beach.ST.3,F,7,72
Armstrong,Fished,Fished.Armstrong.Ricey_Beach.ST,Fished.Armstrong.Ricey_Beach.ST.4,F,6,73
Armstrong,Fished,Fished.Armstrong.Ricey_Beach.ST,Fished.Armstrong.Ricey_Beach.ST.5,F,0,74
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_East.AAE,No-take.Armstrong.Little_Armstrong_Bay_East.AAE.1,F,5,75
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_East.AAE,No-take.Armstrong.Little_Armstrong_Bay_East.AAE.2,F,9,76
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_East.AAE,No-take.Armstrong.Little_Armstrong_Bay_East.AAE.3,F,8,77
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_East.AAE,No-take.Armstrong.Little_Armstrong_Bay_East.AAE.4,F,2,78
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_East.AAE,No-take.Armstrong.Little_Armstrong_Bay_East.AAE.5,F,2,79
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_East.AAE2,No-take.Armstrong.Little_Armstrong_Bay_East.AAE2.1,F,100,80
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_East.AAE2,No-take.Armstrong.Little_Armstrong_Bay_East.AAE2.2,F,50,81
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_East.AAE2,No-take.Armstrong.Little_Armstrong_Bay_East.AAE2.3,F,1,82
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_East.AAE2,No-take.Armstrong.Little_Armstrong_Bay_East.AAE2.4,F,8,83
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_East.AAE2,No-take.Armstrong.Little_Armstrong_Bay_East.AAE2.5,F,0,84
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_East.THJ,No-take.Armstrong.Little_Armstrong_Bay_East.THJ.1,F,6,85
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_East.THJ,No-take.Armstrong.Little_Armstrong_Bay_East.THJ.2,F,3,86
