sanctuary,site,status,date,time,group.no,groupID,transect,length.mm,stage,school,comments,number,group.id,transect.id,school.id,row.id
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,1,160,F,1,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.1,East_Salmon.1.JAT.1,1
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,1,100,F,1,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.1,East_Salmon.1.JAT.1,2
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,1,200,F,1,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.1,East_Salmon.1.JAT.1,3
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,1,130,F,1,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.1,East_Salmon.1.JAT.1,4
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,1,140,F,1,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.1,East_Salmon.1.JAT.1,5
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,1,100,F,1,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.1,East_Salmon.1.JAT.1,6
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,2,90,F,2,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.2,East_Salmon.2.JAT.2,7
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,2,70,F,3,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.2,East_Salmon.2.JAT.3,8
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,2,80,F,4,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.2,East_Salmon.2.JAT.4,9
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,2,90,F,4,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.2,East_Salmon.2.JAT.4,10
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,2,100,F,4,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.2,East_Salmon.2.JAT.4,11
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,2,120,F,5,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.2,East_Salmon.2.JAT.5,12
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,2,200,F,5,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.2,East_Salmon.2.JAT.5,13
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,3,100,F,6,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.3,East_Salmon.3.JAT.6,14
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,3,40,J,7,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.3,East_Salmon.3.JAT.7,15
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,3,200,F,8,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.3,East_Salmon.3.JAT.8,16
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,3,50,F,9,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.3,East_Salmon.3.JAT.9,17
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,3,120,F,9,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.3,East_Salmon.3.JAT.9,18
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,130,F,10,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.10,19
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,170,F,10,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.10,20
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,110,F,10,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.10,21
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,70,F,11,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.11,22
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,80,F,11,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.11,23
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,100,F,11,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.11,24
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,130,F,11,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.11,25
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,60,F,12,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.12,26
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,80,F,12,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.12,27
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,250,M,13,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.13,28
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,200,F,13,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.13,29
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,170,F,13,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.13,30
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,80,F,14,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.14,31
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,70,F,14,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.14,32
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,160,F,15,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.15,33
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,60,F,16,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.16,34
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,80,F,17,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.17,35
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,70,F,17,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.17,36
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,90,F,17,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.17,37
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,4,220,F,18,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,East_Salmon.4.JAT.18,38
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,5,300,M,19,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.5,East_Salmon.5.JAT.19,39
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,5,250,F,19,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.5,East_Salmon.5.JAT.19,40
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,5,270,F,19,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.5,East_Salmon.5.JAT.19,41
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,5,150,F,19,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.5,East_Salmon.5.JAT.19,42
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,5,100,F,19,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.5,East_Salmon.5.JAT.19,43
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,5,120,F,19,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.5,East_Salmon.5.JAT.19,44
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,5,200,F,20,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.5,East_Salmon.5.JAT.20,45
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,5,120,F,21,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.5,East_Salmon.5.JAT.21,46
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,5,120,F,22,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.5,East_Salmon.5.JAT.22,47
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,5,130,F,23,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.5,East_Salmon.5.JAT.23,48
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,5,300,F,24,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.5,East_Salmon.5.JAT.24,49
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,5,120,F,24,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.5,East_Salmon.5.JAT.24,50
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,5,180,F,24,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.5,East_Salmon.5.JAT.24,51
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,5,120,F,25,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.5,East_Salmon.5.JAT.25,52
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,JAT,5,150,F,25,NA,1,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.5,East_Salmon.5.JAT.25,53
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,EP,1,75,F,1,started 9am,1,No-take.Parker_Pt.East_Salmon.EP,No-take.Parker_Pt.East_Salmon.EP.1,East_Salmon.1.EP.1,54
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,EP,1,70,F,1,NA,1,No-take.Parker_Pt.East_Salmon.EP,No-take.Parker_Pt.East_Salmon.EP.1,East_Salmon.1.EP.1,55
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,EP,1,70,F,1,NA,1,No-take.Parker_Pt.East_Salmon.EP,No-take.Parker_Pt.East_Salmon.EP.1,East_Salmon.1.EP.1,56
Parker_Pt,East_Salmon,No-take,17/1/2019,900,1,EP,2,50,F,2,NA,1,No-take.Parker_Pt.East_Salmon.EP,No-take.Parker_Pt.East_Salmon.EP.2,East_Salmon.2.EP.2,57
