sanctuary,site,status,date,time,group.no,groupID,transect,length.mm,stage,school,comments,number,transect.id,school.id,row.id
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,160,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1,1
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,100,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1,2
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,200,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1,3
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,130,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1,4
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,140,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1,5
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,100,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1,6
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,90,F,2,NA,1,JAT.2,East_Salmon.2.JAT.2,7
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,70,F,3,NA,1,JAT.2,East_Salmon.2.JAT.3,8
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,80,F,4,NA,1,JAT.2,East_Salmon.2.JAT.4,9
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,90,F,4,NA,1,JAT.2,East_Salmon.2.JAT.4,10
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,100,F,4,NA,1,JAT.2,East_Salmon.2.JAT.4,11
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,120,F,5,NA,1,JAT.2,East_Salmon.2.JAT.5,12
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,200,F,5,NA,1,JAT.2,East_Salmon.2.JAT.5,13
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,100,F,6,NA,1,JAT.3,East_Salmon.3.JAT.6,14
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,40,J,7,NA,1,JAT.3,East_Salmon.3.JAT.7,15
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,200,F,8,NA,1,JAT.3,East_Salmon.3.JAT.8,16
