Id,dst_jettie,dst_moorin,dst_cst,dst_sank,depth,zone,X,Y,coords.x1,coords.x2,optional,year,ID_1,Pots,FID_,POINT_X,POINT_Y,id,lat,lon
0,1076.07,806.22,378.771,259.419,-11.4056,N,359780.201,6460353.1873,359780.20100000035,6460353.1873,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.9842029355793,115.5158189472561
0,1067.08,796.662,351.853,240.472,-8.93703,N,359770.3437,6460327.0829,359770.3437000001,6460327.0829,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.984437145784533,115.51571084967595
0,1055.3,785.241,364.516,260.955,-9.45224,N,359792.3636,6460335.3756,359792.3635999998,6460335.3756,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.98436508107881,115.51594506101762
0,904.943,636.897,399.826,368.606,-4.33945,N,359936.657,6460266.6786,359936.65699999966,6460266.6786,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.98500249508253,115.51746195916573
0,901.72,632.823,382.35,353.341,-4.22802,N,359927.8832,6460253.4239,359927.88320000004,6460253.4239,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.985120951803598,115.51736719420829
0,883.82,615.425,394.288,369.554,-3.95534,N,359948.1014,6460248.4473,359948.10140000004,6460248.4473,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.985168334548206,115.51758041624099
0,887.305,620.299,418.605,391.393,-3.65513,N,359960.143,6460268.3139,359960.14300000016,6460268.3139,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.984990650187864,115.51771071899967
0,915.582,648.503,417.169,380.712,-3.73772,N,359944.2037,6460287.7971,359944.2037000004,6460287.7971,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.984812964491475,115.51754487974546
0,929.666,662.155,410.04,369.047,-4.55576,N,359926.2238,6460292.8044,359926.2237999998,6460292.8044,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.984765581595546,115.51735534803758
0,919.164,650.754,392.382,356.475,-4.80354,N,359919.7605,6460274.3276,359919.76049999986,6460274.3276,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.98493142104653,115.51728427463081
0,901.388,633.928,410.588,379.727,-3.71674,N,359946.6221,6460274.6958,359946.62210000027,6460274.6958,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.984931421555387,115.51756857015567
0,898.096,631.736,428.429,397.318,-5.52195,N,359963.2847,6460284.1183,359963.2846999997,6460284.1183,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.984848501739393,115.51774625587316
0,919.49,653.513,434.798,395.932,-4.28833,N,359950.6851,6460304.9607,359950.68510000035,6460304.9607,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.984658970608077,115.5176159536394
0,937.056,670.779,431.307,386.187,-5.67664,N,359935.9909,6460315.2668,359935.9908999996,6460315.2668,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.9845642052235,115.51746195912705
0,950.928,683.767,417.648,367.622,-7.09249,N,359918.0831,6460315.0212,359918.0831000004,6460315.0212,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.984564206012763,115.51727242881134
0,943.858,675.605,396.153,351,-5.12079,N,359907.1788,6460293.8567,359907.1787999999,6460293.8567,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.98475373607678,115.51715397211626
0,916.673,651.962,452.513,413.741,-5.50622,N,359965.1092,6460314.3525,359965.10919999983,6460314.3525,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.98457605087807,115.51776994722124
0,944.917,680.029,452.679,403.032,-8.05213,N,359945.8121,6460333.7896,359945.81209999975,6460333.7896,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.984398365918302,115.51756857075677
0,883.961,617.655,429.478,402.567,-5.32793,N,359973.5198,6460272.4376,359973.5197999999,6460272.4376,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.984955112882467,115.51785286680725
0,869.567,601.959,409.948,388.027,-5.17061,N,359967.1643,6460246.0817,359967.1643000003,6460246.0817,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.98519202602842,115.51778179208691
0,880.747,611.535,377.085,354.612,-4.06546,N,359939.3816,6460231.253,359939.38159999996,6460231.253,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.98532232851251,115.51748565116857
0,895.882,625.914,354.612,329.555,-4.64229,N,359913.6753,6460228.2737,359913.67530000024,6460228.2737,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.98534601964538,115.51721320071447
0,863.916,594.019,362.039,344.641,-5.93228,N,359938.5504,6460210.2265,359938.55040000007,6460210.2265,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.985511859630044,115.51747380534698
0,855.895,586.824,384.143,366.976,-3.74165,N,359958.5885,6460218.3819,359958.5884999996,6460218.3819,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.985440785010532,115.5176870273121
0,848.358,580.788,413.227,395.932,-3.96189,N,359983.0316,6460231.8513,359983.03160000034,6460231.8513,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.98532232855452,115.5179476323383
0,791.122,520.593,364.961,356.475,-7.2131,N,359977.5221,6460143.7752,359977.5220999997,6460143.7752,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.986115988774454,115.51787655847549
0,783.074,512.148,346.377,338.311,-7.83713,N,359966.7078,6460116.0448,359966.7078,6460116.0448,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.98636474702639,115.51775810089447
0,773.828,503.189,368.606,360.483,-7.53691,N,359987.829,6460126.8418,359987.8289999999,6460126.8418,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.98626998178806,115.5179831689923
0,765.108,494.194,357.28,349.537,-7.87121,N,359983.6221,6460107.0825,359983.62210000027,6460107.0825,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.98644766707355,115.51793578643347
0,706.859,435.917,310.301,373.288,-6.70969,N,360018.9836,6460058.9698,360018.9835999999,6460058.9698,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.986885956483654,115.51830300244897
0,698.001,427.056,316.362,388.831,-7.12002,N,360030.1397,6460061.7495,360030.1397000002,6460061.7495,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.98686226548027,115.51842145881281
0,696.424,425.65,327.387,400.232,-7.84237,N,360040.0867,6460071.0799,360040.08669999987,6460071.0799,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.986779345476183,115.51852807015095
0,683.968,413.015,307.55,397.476,-6.86701,N,360043.6962,6460052.7411,360043.6962000001,6460052.7411,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.98694518553936,115.51856360712837
0,689.88,418.993,295.998,381.532,-6.32164,N,360029.2544,6460044.6626,360029.2544,6460044.6626,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.987016259520612,115.51840961328067
0,701.999,431.249,295.11,366.601,-6.20628,N,360012.4842,6460043.1194,360012.48419999983,6460043.1194,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.987028104963386,115.51823192775677
0,712.037,441.103,325.55,380.516,-7.49365,N,360022.1253,6460074.7741,360022.1253000004,6460074.7741,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.986743808806715,115.51833853925315
0,713.667,442.997,341.253,393.145,-6.89847,N,360034.2387,6460089.3879,360034.23869999964,6460089.3879,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.986613506592256,115.51846884118545
0,695.742,425.121,332.987,405.998,-8.19895,N,360048.9144,6460080.3949,360048.9144000001,6460080.3949,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.98669642597778,115.5186228347055
0,675.328,404.518,314.778,412.955,-7.45301,N,360055.8996,6460060.789,360055.8996000001,6460060.789,TRUE,2014,NA,NA,NA,NA,NA,NA,-31.986874110801423,115.51869390965837
